Page,Element_Type,Element_Title,Permission_Required,Location,Parent_Component,Admin,Manager,Operator,Viewer,Notes
Contractors Home,Page,Contractors Dashboard,contractors.view,Main Content,Contractors Home,Yes,Yes,Yes,Yes,Main contractors overview
Contractors Home,KPICard,Active Contractors,contractors.view,Dashboard,Contractor Metrics,Yes,Yes,Yes,Yes,Currently active contractors
Contractors Home,KPICard,Compliance Rate,contractors.compliance,Dashboard,Compliance Metrics,Yes,Yes,Yes,Yes,Overall compliance percentage
Contractors Home,KPICard,Pending Approvals,contractors.approve,Dashboard,Approval Metrics,Yes,Yes,No,No,Contractors awaiting approval
Contractors Home,KPICard,Expiring Documents,contractors.documents,Dashboard,Document Metrics,Yes,Yes,Yes,Yes,Documents expiring soon
Contractors Home,Button,Add Contractor,contractors.create,Header,Quick Actions,Yes,Yes,No,No,Create new contractor
Contractors Home,Button,View Reports,contractors.reports,Header,Quick Actions,Yes,Yes,No,No,Contractor reporting
Contractors Home,Button,Compliance Check,contractors.compliance,Header,Quick Actions,Yes,Yes,Yes,No,Run compliance check
Contractors Home,Section,Recent Activity,contractors.view,Main Content,Activity Feed,Yes,Yes,Yes,Yes,Recent contractor actions
Contractors Home,Section,Urgent Actions,contractors.manage,Main Content,Action Items,Yes,Yes,No,No,Items requiring attention
Manage Contractors,Page,Contractor Management,contractors.manage,Main Content,Management Dashboard,Yes,Yes,No,No,Administrative contractor management
Manage Contractors,Table,Contractor List,contractors.view,Main Content,Contractor Table,Yes,Yes,Yes,Yes,All contractors list
Manage Contractors,Button,Add New,contractors.create,Header,Action Buttons,Yes,Yes,No,No,Add new contractor
Manage Contractors,Button,Import Contractors,contractors.import,Header,Import Actions,Yes,Yes,No,No,Bulk contractor import
Manage Contractors,Button,Export List,contractors.export,Header,Export Actions,Yes,Yes,No,No,Export contractor data
Manage Contractors,Button,Edit Contractor,contractors.edit,Table Row,Row Actions,Yes,Yes,No,No,Edit contractor details
Manage Contractors,Button,View Profile,contractors.view,Table Row,Row Actions,Yes,Yes,Yes,Yes,View contractor profile
Manage Contractors,Button,Approve,contractors.approve,Table Row,Row Actions,Yes,Yes,No,No,Approve contractor
Manage Contractors,Button,Suspend,contractors.suspend,Table Row,Row Actions,Yes,Yes,No,No,Suspend contractor access
Manage Contractors,Button,Delete,contractors.delete,Table Row,Row Actions,Yes,No,No,No,Remove contractor
Manage Contractors,Status,Approval Status,contractors.view,Table Row,Status Display,Yes,Yes,Yes,Yes,Current approval status
Manage Contractors,Status,Compliance Status,contractors.compliance,Table Row,Status Display,Yes,Yes,Yes,Yes,Compliance indicator
Manage Contractors,Filter,Status Filter,contractors.view,Header,Filter Controls,Yes,Yes,Yes,Yes,Filter by status
Manage Contractors,Filter,Category Filter,contractors.view,Header,Filter Controls,Yes,Yes,Yes,Yes,Filter by contractor type
Manage Contractors,Search,Contractor Search,contractors.view,Header,Search Controls,Yes,Yes,Yes,Yes,Search contractors
Contractor Compliance,Page,Compliance Dashboard,contractors.compliance,Main Content,Compliance Management,Yes,Yes,Yes,No,Contractor compliance overview
Contractor Compliance,Chart,Compliance Trends,contractors.compliance,Dashboard,Compliance Charts,Yes,Yes,Yes,No,Compliance trend analysis
Contractor Compliance,Table,Compliance Issues,contractors.compliance,Main Content,Issue Display,Yes,Yes,Yes,No,Current compliance issues
Contractor Compliance,KPICard,Documents Due,contractors.documents,Dashboard,Document Metrics,Yes,Yes,Yes,No,Documents expiring
Contractor Compliance,KPICard,Training Required,contractors.training,Dashboard,Training Metrics,Yes,Yes,Yes,No,Required training status
Contractor Compliance,Button,Run Audit,contractors.audit,Header,Audit Actions,Yes,Yes,No,No,Perform compliance audit
Contractor Compliance,Button,Generate Report,contractors.reports,Header,Report Actions,Yes,Yes,No,No,Generate compliance report
Contractor Compliance,Button,Send Reminders,contractors.notify,Header,Notification Actions,Yes,Yes,No,No,Send compliance reminders
Contractor Compliance,Modal,Issue Details,contractors.compliance,Modal,Issue Display,Yes,Yes,Yes,No,Detailed compliance issue view
Contractor Compliance,Form,Issue Resolution,contractors.resolve,Modal,Resolution Form,Yes,Yes,No,No,Resolve compliance issues
Add Contractor,Page,New Contractor,contractors.create,Main Content,Contractor Creation,Yes,Yes,No,No,Add new contractor form
Add Contractor,Form,Basic Information,contractors.create,Main Content,Contractor Form,Yes,Yes,No,No,Contractor basic details
Add Contractor,Input,Company Name,contractors.create,Form Section,Company Info,Yes,Yes,No,No,Contractor company name
Add Contractor,Input,Contact Person,contractors.create,Form Section,Contact Info,Yes,Yes,No,No,Primary contact details
Add Contractor,Input,Phone Number,contractors.create,Form Section,Contact Info,Yes,Yes,No,No,Contact phone number
Add Contractor,Input,Email Address,contractors.create,Form Section,Contact Info,Yes,Yes,No,No,Contact email address
Add Contractor,Dropdown,Contractor Type,contractors.create,Form Section,Classification,Yes,Yes,No,No,Type of contractor
Add Contractor,Dropdown,Risk Level,contractors.create,Form Section,Risk Assessment,Yes,Yes,No,No,Assigned risk level
Add Contractor,Upload,Insurance Documents,contractors.documents,Form Section,Document Upload,Yes,Yes,No,No,Upload insurance docs
Add Contractor,Upload,Certificates,contractors.documents,Form Section,Document Upload,Yes,Yes,No,No,Upload certifications
Add Contractor,Checkbox,Terms Accepted,contractors.create,Form Section,Agreement,Yes,Yes,No,No,Terms and conditions
Add Contractor,Button,Save Draft,contractors.create,Footer,Save Actions,Yes,Yes,No,No,Save as draft
