Page,Element_Type,Element_Title,Permission_Required,Location,Parent_Component,Admin,Manager,Operator,Viewer,Notes
Top Navigation,Dropdown,Admin,admin.access,Top Bar,System Menu,Yes,No,No,No,System administration access
Top Navigation,Link,Dashboard,admin.dashboard.view,Top Bar,Admin Dropdown,Yes,No,No,No,Admin system dashboard
Top Navigation,Link,Tenant Management,admin.tenants.manage,Top Bar,Admin Dropdown,Yes,No,No,No,Manage tenant accounts
Top Navigation,Link,Admin Users,admin.users.manage,Top Bar,Admin Dropdown,Yes,No,No,No,System user management
Top Navigation,Link,Trial Management,admin.trials.manage,Top Bar,Admin Dropdown,Yes,No,No,No,Trial account management
Top Navigation,Link,Partner Portal,admin.partners.manage,Top Bar,Admin Dropdown,Yes,No,No,No,Partner portal access
Top Navigation,Link,System Monitoring,admin.monitoring.view,Top Bar,Admin Dropdown,Yes,No,No,No,System health monitoring
Top Navigation,Link,Billing & Revenue,admin.billing.view,Top Bar,Admin Dropdown,Yes,No,No,No,Billing system access
Top Navigation,Link,Support System,admin.support.access,Top Bar,Admin Dropdown,Yes,No,No,No,Support ticket system
Top Navigation,Link,LORIS Analytics,admin.analytics.view,Top Bar,Admin Dropdown,Yes,No,No,No,Advanced analytics
Top Navigation,Link,Configuration,admin.config.manage,Top Bar,Admin Dropdown,Yes,No,No,No,System configuration
Top Navigation,Link,Audit & Security,admin.audit.access,Top Bar,Admin Dropdown,Yes,No,No,No,Security audit logs
Top Navigation,Dropdown,Modules,modules.access,Top Bar,System Menu,Yes,Yes,Yes,Yes,Quick module access
Top Navigation,Link,Dashboard,dashboard.view,Top Bar,Modules Dropdown,Yes,Yes,Yes,Yes,Main dashboard
Top Navigation,Link,Checklists,checklists.view,Top Bar,Modules Dropdown,Yes,Yes,Yes,Yes,Checklists module
Top Navigation,Link,Contractors,contractors.view,Top Bar,Modules Dropdown,Yes,Yes,Yes,Yes,Contractors module
Top Navigation,Link,Contractor View,contractors.view,Top Bar,Modules Dropdown,Yes,Yes,Yes,Yes,Alternative contractor view
Top Navigation,Link,Permits,permits.view,Top Bar,Modules Dropdown,Yes,Yes,Yes,Yes,Permits module
Top Navigation,Link,Risk Assessments,risk-assessments.view,Top Bar,Modules Dropdown,Yes,Yes,Yes,Yes,Risk assessment module
Top Navigation,Link,Tasks,tasks.view,Top Bar,Modules Dropdown,Yes,Yes,Yes,Yes,Task management
Top Navigation,Link,Processes,processes.view,Top Bar,Modules Dropdown,Yes,Yes,Yes,Yes,Process automation
Top Navigation,Link,Documents,documents.view,Top Bar,Modules Dropdown,Yes,Yes,Yes,Yes,Document management
Top Navigation,Link,Assets,assets.view,Top Bar,Modules Dropdown,Yes,Yes,Yes,Yes,Asset management
Top Navigation,Link,Incidents,incidents.view,Top Bar,Modules Dropdown,Yes,Yes,Yes,Yes,Incident reporting
Top Navigation,Link,E-Learning,elearning.view,Top Bar,Modules Dropdown,Yes,Yes,Yes,Yes,Training portal
