Page,Element_Type,Element_Title,Permission_Required,Location,Parent_Component,Admin,Manager,Operator,Viewer,Notes
Process Home,Page,Process Dashboard,processes.view,Main Content,Process Home,Yes,Yes,Yes,Yes,Main process overview
Process Home,KPICard,Active Processes,processes.view,Dashboard,Process Metrics,Yes,Yes,Yes,Yes,Currently running processes
Process Home,KPICard,Completed Today,processes.view,Dashboard,Completion Metrics,Yes,Yes,Yes,Yes,Processes completed today
Process Home,KPICard,Pending Approvals,processes.approve,Dashboard,Approval Metrics,Yes,Yes,No,No,Processes awaiting approval
Process Home,KPICard,Efficiency Rate,processes.analytics,Dashboard,Performance Metrics,Yes,Yes,No,No,Process efficiency metrics
Process Home,Button,Build Process,processes.builder.access,Header,Quick Actions,Yes,Yes,No,No,Access process builder
Process Home,Button,Start Process,processes.execute,Header,Quick Actions,Yes,Yes,Yes,No,Start new process instance
Process Home,Button,View Analytics,analytics.view,Header,Quick Actions,Yes,Yes,No,No,Process performance analytics
Process Home,Section,My Processes,processes.view,Main Content,Personal Processes,Yes,Yes,Yes,Yes,User's processes
Process Home,Section,Recent Activity,processes.view,Main Content,Activity Feed,Yes,Yes,Yes,Yes,Recent process actions
Build Process,Page,Process Builder,processes.builder.access,Main Content,Process Builder,Yes,Yes,No,No,Visual process builder interface
Build Process,Canvas,Process Canvas,processes.builder.access,Main Content,Builder Canvas,Yes,Yes,No,No,Drag-drop process canvas
Build Process,Toolbar,Node Palette,processes.builder.access,Sidebar,Builder Tools,Yes,Yes,No,No,Available process nodes
Build Process,Node,Start Node,processes.builder.access,Canvas,Process Nodes,Yes,Yes,No,No,Process start point
Build Process,Node,Task Node,processes.builder.access,Canvas,Process Nodes,Yes,Yes,No,No,Process task steps
Build Process,Node,Decision Node,processes.builder.access,Canvas,Process Nodes,Yes,Yes,No,No,Process decision points
Build Process,Node,End Node,processes.builder.access,Canvas,Process Nodes,Yes,Yes,No,No,Process end points
Build Process,Connection,Process Flow,processes.builder.access,Canvas,Flow Connections,Yes,Yes,No,No,Process flow connections
Build Process,Button,Save Process,processes.create,Header,Builder Actions,Yes,Yes,No,No,Save process definition
Build Process,Button,Test Process,processes.test,Header,Builder Actions,Yes,Yes,No,No,Test process execution
Build Process,Button,Deploy Process,processes.deploy,Header,Builder Actions,Yes,Yes,No,No,Deploy process to production
Build Process,Panel,Properties Panel,processes.builder.access,Sidebar,Node Properties,Yes,Yes,No,No,Node configuration panel
Build Process,Form,Node Settings,processes.builder.access,Properties Panel,Node Configuration,Yes,Yes,No,No,Individual node settings
My Processes,Page,Personal Processes,processes.view,Main Content,Personal Dashboard,Yes,Yes,Yes,Yes,User's process instances
My Processes,Table,Process List,processes.view,Main Content,Process Display,Yes,Yes,Yes,Yes,Personal process list
My Processes,Button,Start New Process,processes.execute,Header,Process Actions,Yes,Yes,Yes,No,Start new process instance
My Processes,Button,View Process,processes.view,Table Row,Row Actions,Yes,Yes,Yes,Yes,View process details
My Processes,Button,Continue Process,processes.execute,Table Row,Row Actions,Yes,Yes,Yes,Yes,Continue paused process
My Processes,Button,Cancel Process,processes.cancel,Table Row,Row Actions,Yes,Yes,No,No,Cancel running process
My Processes,Status,Process Status,processes.view,Table Row,Status Display,Yes,Yes,Yes,Yes,Current process status
My Processes,Progress,Process Progress,processes.view,Table Row,Progress Display,Yes,Yes,Yes,Yes,Process completion progress
My Processes,Filter,Status Filter,processes.view,Header,Filter Controls,Yes,Yes,Yes,Yes,Filter by process status
My Processes,Filter,Process Type,processes.view,Header,Filter Controls,Yes,Yes,Yes,Yes,Filter by process type
Process Templates,Page,Template Library,processes.templates,Main Content,Template Management,Yes,Yes,Yes,Yes,Process template library
Process Templates,Table,Template List,processes.templates,Main Content,Template Display,Yes,Yes,Yes,Yes,Available process templates
